title,price,registration,location,benzin,mileage,power,gefunden
Mercedes-Benz E 350 EQE 350 AMG+PANO+BURM+DISTRONIC+MEMORY+SITZKLIMA,83.333 €,EZ 03/2023,90530 Wendelstein,Elektro,3.300 km,ca. 215 kW (292PS),gefunden auf autoscout24.de
Renault Megane,41.690 €,EZ -/2023,,"Elektro, ca. 15,5 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",5 km,ca. 55 kW (75PS),gefunden auf hey.car Online-Kauf
BMW 530e iPerformance Limousine,34.790 €,EZ 07/2020,55743 Idar-Oberstein,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",92.769 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,28.870 €,EZ 03/2020,42719 Solingen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",78.900 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,36.890 €,EZ 08/2020,58119 Hagen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",59.790 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.980 €,EZ 10/2019,91438 Bad Windsheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",39.350 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.489 €,EZ 11/2020,41460 Neuss,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",57.449 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le xDrive Limousine,70.770 €,EZ 02/2021,42549 Velbert,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",30.300 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 320e Limousine,33.950 €,EZ 12/2021,12203 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",30.436 km,ca. 120 kW (163PS),gefunden auf BMW
BMW 330e Limousine MX,33.430 €,EZ 11/2020,50389 Wesseling,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",43.686 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,64.760 €,EZ 01/2023,46149 Oberhausen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",27.060 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 320e Limousine,32.950 €,EZ 12/2021,12203 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",60.065 km,ca. 120 kW (163PS),gefunden auf BMW
