title,price,registration,location,benzin,mileage,power,gefunden
Mini Cooper S Countryman Cooper SE ALL4 Countryman,32.450 €,EZ 10/2021,49479 Ibbenbüren,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.538 km,ca. 92 kW (125PS),gefunden auf MINI
BMW 545 e xDrive Lim. Luxury Line Navi.Laser.HuD.GSD,44.444 €,EZ 11/2020,74074 Heilbronn,"Hybrid, ca. 0 g CO₂/km (komb.)* ",102.948 km,ca. 290 kW (394PS),gefunden auf autoscout24.de
BMW 330e Limousine,29.980 €,EZ 07/2020,71679 Asperg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",20.419 km,ca. 135 kW (184PS),gefunden auf BMW
Audi A6 Limousine 55 TFSIe quattro S Tronic sport AHK,46.990 €,EZ 06/2020,82031,Hybrid,41.424 km,ca. 185 kW (252PS),gefunden auf Autoscout24 Smyle
Mercedes-Benz A 250 e Limo PROGRESSIVE NIGHT PANO LED DAB,33.998 €,EZ 09/2022,82031,"Hybrid, ca. 6,1 l/100 km (komb.)* , ca. 138 g CO₂/km (komb.)* ",16.500 km,ca. 118 kW (160PS),gefunden auf Autoscout24 Smyle
Lexus IS 300 ES 300 h Business Edition *Navi*Leder*LED*ACC*,34.490 €,EZ 05/2021,82031,"Hybrid, ca. 4,4 l/100 km (komb.)* , ca. 100 g CO₂/km (komb.)* ",76.632 km,ca. 160 kW (218PS),gefunden auf Autoscout24 Smyle
Mercedes-Benz A 250 e Limousine Progressive+Night+MBUX+LED+Kam,32.989 €,EZ 09/2021,82031,Hybrid,17.542 km,ca. 118 kW (160PS),gefunden auf Autoscout24 Smyle
Cupra Leon 1.4 e-Hybrid *Winter*Vision+*Voll-LED*19''*,28.150 €,EZ 05/2021,82031,"Hybrid, ca. 1,6 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* ",23.849 km,ca. 180 kW (245PS),gefunden auf Autoscout24 Smyle
Cupra Born 58 kWh 231PS Head up Beats Frei ab Oktober23,41.880 €,EZ 09/2022,82031,"Elektro, ca. 0 g CO₂/km (komb.)* ",16.395 km,ca. 170 kW (231PS),gefunden auf Autoscout24 Smyle
BMW 330 e Aut LED Alarm CockpitPro GeschwindigReg,29.999 €,EZ 06/2020,82031,"Hybrid, ca. 36 g CO₂/km (komb.)* , A+",24.048 km,ca. 215 kW (292PS),gefunden auf Autoscout24 Smyle
Hyundai IONIQ 5 Project 45 Navi Kamera BOSE Solardach,49.990 €,EZ 08/2021,82031,"Elektro, ca. 0 g CO₂/km (komb.)* ",16.454 km,ca. 225 kW (306PS),gefunden auf Autoscout24 Smyle
VW ID.3 Volkswagen Pro Performance Life 58 kWh LED ACC,32.485 €,EZ 02/2022,82031,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",6.550 km,ca. 150 kW (204PS),gefunden auf Autoscout24 Smyle
Audi A3 Sportback 40 TFSI e S tronic,25.980 €,EZ 03/2021,82031,"Hybrid, ca. 1,4 l/100 km (komb.)* , ca. 30 g CO₂/km (komb.)* ",8.100 km,ca. 150 kW (204PS),gefunden auf Autoscout24 Smyle
Fiat Panda CROSS CITY PLUS HYBRID 1.0 GSE TECH CARPLAY KLIMAA,14.990 €,EZ 03/2023,82031,"Hybrid, ca. 4,9 l/100 km (komb.)* , ca. 112 g CO₂/km (komb.)* ",7.250 km,ca. 52 kW (71PS),gefunden auf Autoscout24 Smyle
"Citroën C4 Citroen E- Elektromotor 136 SHINE, 1 .Hand",29.750 €,EZ 10/2022,82031,"Elektro, ca. 0 g CO₂/km (komb.)* ",9.000 km,ca. 100 kW (136PS),gefunden auf Autoscout24 Smyle
Hyundai IONIQ 5 Techniq*58KW Elektro*Leder*LED*SHZ+Belüftung*,45.500 €,EZ 11/2022,82031,"Elektro, ca. 0 g CO₂/km (komb.)* ",20.000 km,ca. 125 kW (170PS),gefunden auf Autoscout24 Smyle
Kia EV6 77.4 kWh AWD GT-Line / WP Pano ASS+ Sound,58.990 €,EZ 08/2023,82031,"Elektro, ca. 0 g CO₂/km (komb.)* ",10 km,ca. 239 kW (325PS),gefunden auf Autoscout24 Smyle
VW ID.4 Volkswagen GTX 4Motion (Matrix*Pano*HUD*Navi) NAVI,43.850 €,EZ 11/2022,82031,"Elektro, ca. 0 g CO₂/km (komb.)* ",5.940 km,ca. 220 kW (299PS),gefunden auf Autoscout24 Smyle
Fiat Panda CROSS CITY PLUS HYBRID 1.0 GSE TECH CARPLAY KLIMAA,14.990 €,EZ 05/2023,82031,"Hybrid, ca. 4,9 l/100 km (komb.)* , ca. 112 g CO₂/km (komb.)* ",500 km,ca. 52 kW (71PS),gefunden auf Autoscout24 Smyle
Mercedes-Benz C 300 e Avantgarde Distronic LED Kamera SHZ PTC,33.190 €,EZ 08/2020,82031,Hybrid,46.123 km,ca. 155 kW (211PS),gefunden auf Autoscout24 Smyle
Audi A3 Sportback 40 TFSI e LED DAB Spurh.-Ass.,23.970 €,EZ 01/2021,82031,"Hybrid, ca. 1,4 l/100 km (komb.)* , ca. 24 g CO₂/km (komb.)* ",27.112 km,ca. 150 kW (204PS),gefunden auf Autoscout24 Smyle
Mercedes-Benz A 250 e AMG NIGHT PANO MBUX-AR KEYLESS-GO,48.498 €,EZ 05/2023,82031,"Hybrid, ca. 22 g CO₂/km (komb.)* ",5.500 km,ca. 120 kW (163PS),gefunden auf Autoscout24 Smyle
Opel Astra GS Line Plug-In-Hybrid/IntelliLux LED/Navi/Rückfahrkamera,32.690 €,EZ -/2022,,"Hybrid, ca. 1,1 l/100 km (komb.)* , ca. 23 g CO₂/km (komb.)* , A+++",10.500 km,ca. 132 kW (179PS),gefunden auf hey.car Online-Kauf
Audi A6 Limousine 50 TFSI e PHEV quattro S-tronic Spo,37.990 €,EZ -/2020,,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 34 g CO₂/km (komb.)* ",30.234 km,ca. 220 kW (299PS),gefunden auf mobile.de Online-Kauf
Mercedes-Benz A 250 e AMG Line Pano LED Navi Kamera DAB Spurh.,31.890 €,EZ -/2021,,"Hybrid, ca. 1,3 l/100 km (komb.)* , ca. 31 g CO₂/km (komb.)* ",14.831 km,ca. 118 kW (160PS),gefunden auf mobile.de Online-Kauf
