title,price,registration,location,benzin,mileage,power,gefunden
Mini Cooper S Countryman Cooper SE ALL4 Countryman,32.450 €,EZ 10/2021,49479 Ibbenbüren,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.538 km,ca. 92 kW (125PS),gefunden auf MINI
BMW 330e Limousine,41.989 €,EZ 10/2020,91301 Forchheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.356 km,ca. 135 kW (184PS),gefunden auf BMW
Mercedes-Benz A 250 e Progressive NIght Sport+HighEnd+Sound+AHK+AmbiLicht,36.400 €,EZ -/2022,,"Hybrid, ca. 1,0 l/100 km (komb.)* , ca. 23 g CO₂/km (komb.)* ",8.119 km,ca. 118 kW (160PS),gefunden auf hey.car Online-Kauf
Mercedes-Benz A 250,29.690 €,EZ -/2020,80636 München,"Hybrid, ca. 1,4 l/100 km (komb.)* , ca. 32 g CO₂/km (komb.)* , A+++",37.370 km,ca. 118 kW (160PS),gefunden auf hey.car
Hyundai IONIQ 5 Uniq-Paket 4WD Panoramadach,57.900 €,EZ -/2023,91781 Weißenburg,"Elektro, ca. 17,9 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",3.111 km,ca. 239 kW (325PS),gefunden auf hey.car
"Mercedes-Benz A 250 e AMG EDITION 2020 Night LED/MBUX/18"" /PTS",29.490 €,EZ -/2021,85055 Ingolstadt,"Hybrid, ca. 5,8 l/100 km (komb.)* , ca. 133 g CO₂/km (komb.)* , B",24.072 km,ca. 118 kW (160PS),gefunden auf hey.car
Hyundai IONIQ 5 Techniq Elektro 4WD 77 Assist. elektr. Heckklappe,56.690 €,EZ -/2022,50825 Köln,"Elektro, ca. 0 g CO₂/km (komb.)* , A+++",10 km,ca. 239 kW (325PS),gefunden auf hey.car
"Hyundai IONIQ 5 TECHNIQ 77,4 kWh Park-P. Bose",46.490 €,EZ -/2023,42281 Wuppertal,"Elektro, ca. 17,0 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",10 km,ca. 168 kW (228PS),gefunden auf hey.car
Audi A3 Sportback 40 e-tron design LED*ACC*VIRTUAL*NAVI+*PDC+*SZH*MAL*RFK*,20.985 €,EZ 07/2020,63165 Mühlheim am Main,"Hybrid, ca. 2,0 l/100 km (komb.)* , ca. 45 g CO₂/km (komb.)* , A+++",45.200 km,ca. 110 kW (150PS),gefunden auf hey.car
VW ID.3 Pure Performance NAVI PDC Fahrschulausst.,19.890 €,EZ -/2021,52499 Baesweiler,"Elektro, ca. 13,1 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",40.000 km,ca. 110 kW (150PS),gefunden auf hey.car
Audi A3 Sportback 40 TFSI e,28.480 €,EZ 01/2021,39576 Stendal,"Hybrid, ca. 1,4 l/100 km (komb.)* , ca. 30 g CO₂/km (komb.)* , A+++",11.510 km,ca. 110 kW (150PS),gefunden auf hey.car
Renault Megane 5Türer Techno E-Tech Plug-In 160 WinterP,39.450 €,EZ -/2023,80636 München,"Hybrid, ca. 5,2 l/100 km (komb.)* , ca. 117 g CO₂/km (komb.)* , A",15.000 km,ca. 118 kW (160PS),gefunden auf hey.car
"Audi A7 Sportback 50 TFSI e q. S-Tronic S-Line 2x, HD-Matrix LED, AHK, ACC, B&O, Virt.",49.890 €,EZ 12/2020,74523 Schwäbisch Hall,"Hybrid, ca. 2,1 l/100 km (komb.)* , ca. 48 g CO₂/km (komb.)* , A+",55.200 km,ca. 220 kW (299PS),gefunden auf hey.car
