title,price,registration,location,benzin,mileage,power,gefunden
Audi A3 40 TFSI e-tron Advanced Pano LED Virtual Navi APS,25.775 €,EZ 11/2020,53757 Sankt Augustin-Menden,"Hybrid, A+",19.350 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
"BMW i3 s 120Ah, Navi, LED, Rückfaka., Tempomat, Sitzhzg., DAB, uvm.",25.190 €,EZ -/2020,,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",15.021 km,ca. 135 kW (184PS),gefunden auf hey.car Online-Kauf
Mini Cooper S Countryman Cooper SE ALL4 Countryman,32.450 €,EZ 10/2021,49479 Ibbenbüren,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.538 km,ca. 92 kW (125PS),gefunden auf MINI
BMW 530e Limousine,51.910 €,EZ 12/2022,22885 Barsbüttel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",45 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,49.490 €,EZ 11/2020,82538 Geretsried - Gelting,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",113.086 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e xDrive Limousine,36.440 €,EZ 04/2020,71679 Asperg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",42.863 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,41.989 €,EZ 11/2020,39340 Haldensleben,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",34.178 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,31.790 €,EZ 11/2020,50739 Köln,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",87.280 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,29.990 €,EZ 12/2019,50858 Köln,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",86.694 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,26.990 €,EZ 10/2019,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",104.169 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,31.900 €,EZ 11/2020,40237 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",24.782 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,31.198 €,EZ 07/2020,74076 Heilbronn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",63.433 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,36.900 €,EZ 07/2020,67071 Ludwigshafen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",50.254 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,30.490 €,EZ 10/2020,82538 Geretsried - Gelting,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",55.509 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,28.390 €,EZ 04/2020,31303 Burgdorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",58.998 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,41.890 €,EZ 10/2020,57076 Siegen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",25.406 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,37.480 €,EZ 11/2020,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",47.040 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,27.490 €,EZ 02/2020,72336 Balingen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.880 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,31.970 €,EZ 01/2020,68169 Mannheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",56.984 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,30.890 €,EZ 06/2020,57462 Olpe,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",70.481 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,36.980 €,EZ 01/2020,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",69.434 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,31.450 €,EZ 12/2019,29227 Celle,"Hybrid, ca. 2,1 l/100 km (komb.)* , ca. 2 g CO₂/km (komb.)* , A+++",49.294 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,40.979 €,EZ 11/2020,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",21.279 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,34.890 €,EZ 02/2020,63303 Dreieich,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",75.336 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e iPerformance Limousine,53.985 €,EZ 02/2020,06526 Sangerhausen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",55.305 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e Limousine,48.490 €,EZ 07/2021,54634 Bitburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",24.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,36.490 €,EZ 01/2021,53119 Bonn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",33.506 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.900 €,EZ 12/2019,94481 Grafenau,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",68.914 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.950 €,EZ 11/2020,22848 Norderstedt,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",116.649 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,37.950 €,EZ 01/2020,40822 Mettmann,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",31.323 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,32.499 €,EZ 03/2020,85435 Erding,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.801 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,31.990 €,EZ 03/2020,42117 Wuppertal,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",67.041 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,37.880 €,EZ 10/2020,46236 Bottrop,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",19.266 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e xDrive Limousine MX,39.750 €,EZ 04/2021,63785 Obernburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",42.229 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.960 €,EZ 08/2020,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",37.030 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,41.900 €,EZ 11/2020,18146 Rostock,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",85.391 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e xDrive Limousine,37.580 €,EZ 11/2020,71679 Asperg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",50.327 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,34.930 €,EZ 11/2020,72336 Balingen,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* , A+++",62.397 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,31.710 €,EZ 11/2020,33104 Paderborn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",27.735 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,60.500 €,EZ 08/2022,29410 Salzwedel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",23.940 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 745e Limousine,55.800 €,EZ 04/2021,47119 Duisburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",112.087 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,32.980 €,EZ 10/2020,63303 Dreieich,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",41.914 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,34.660 €,EZ 02/2020,96050 Bamberg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",44.964 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.680 €,EZ 10/2020,53119 Bonn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",66.485 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,32.850 €,EZ 01/2020,49080 Osnabrück,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",70.823 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e iPerformance Limousine,56.950 €,EZ 09/2019,12203 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",32.995 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine MX,38.950 €,EZ 05/2022,44534 Lünen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",12.006 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,51.900 €,EZ 10/2020,82538 Geretsried - Gelting,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",83.502 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,30.888 €,EZ 11/2020,74074 Heilbronn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",66.930 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine Luxury Line,41.998 €,EZ 11/2020,65203 Wiesbaden,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 44 g CO₂/km (komb.)* , A+++",16.218 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le xDrive Limousine,74.850 €,EZ 03/2022,29410 Salzwedel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",31.700 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e iPerformance Limousine,33.680 €,EZ 06/2020,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",83.619 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,36.450 €,EZ 06/2023,32051 Herford,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",60.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.890 €,EZ 04/2020,83707 Bad Wiessee,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",21.092 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,35.900 €,EZ 08/2020,14057 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",38.880 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,28.490 €,EZ 05/2019,50858 Köln,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",91.086 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,40.980 €,EZ 04/2021,53119 Bonn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",52.062 km,ca. 135 kW (184PS),gefunden auf BMW
