title,price,registration,location,benzin,mileage,power,gefunden
VW ID.4 Volkswagen ProPerfor. NAVI RFK SHZ ACC Wärmepumpe,42.700 €,EZ 05/2023,55120 Mainz,"Elektro, ca. 0 g CO₂/km (komb.)* ",6.971 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
BMW 330e Limousine,26.804 €,EZ 10/2020,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",40.123 km,ca. 135 kW (184PS),gefunden auf BMW
Hyundai IONIQ 6 53kWh 111kW 4 Türen,652 € monatlich,EZ -/2024,,"Elektro, ca. 0 g CO₂/km (komb.)* ",- km,ca. 111 kW (151PS),gefunden auf Carwow Leasing
VW ID.4 Volkswagen ProPerfor. NAVI RFK SHZ ACC Wärmepumpe,42.700 €,EZ 05/2023,55120 Mainz,"Elektro, ca. 0 g CO₂/km (komb.)* ",6.971 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
"BMW i4 40 M Sport, Laserlicht, HUD, Driving Prof, AHK",51.500 €,EZ 04/2023,93173 Bayern - Wenzenbach,"Elektro, ca. 0 g CO₂/km (komb.)* ",12.000 km,ca. 250 kW (340PS),gefunden auf autoscout24.de
Porsche Taycan GTS Sport Turismo InnoDrive LED-Matrix,157.220 €,EZ 03/2024,73529 Schwäbisch Gmünd,"Elektro, ca. 0 g CO₂/km (komb.)* ",9.900 km,ca. 440 kW (598PS),gefunden auf autoscout24.de
Nissan Leaf Lim Aut Navi Kamera Sitzheiz Temp 1-Hand,15.870 €,EZ 12/2020,90431 Nürnberg,"Elektro, ca. 0 g CO₂/km (komb.)* ",17.672 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
Seat Mii electric Plus Climatronic SHZ,12.890 €,EZ 11/2020,72622 Nürtingen,"Elektro, ca. 0 g CO₂/km (komb.)* ",56.395 km,ca. 61 kW (83PS),gefunden auf autoscout24.de
Renault ZOE Intens R135/Z.E. 50 (Kauf-Batterie) Klimaautomatik,15.790 €,EZ 10/2021,85716 Unterschleißheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",39.963 km,ca. 51 kW (69PS),gefunden auf autoscout24.de
"Nissan Leaf 30 kWh (mit Batterie) Acenta""KLIMA""KAMERA""NAVI""PDC",12.997 €,EZ 07/2016,71665 Vaihingen an der Enz (Enzweihingen),"Elektro, ca. 0 g CO₂/km (komb.)* ",50.000 km,ca. 80 kW (109PS),gefunden auf autoscout24.de
Peugeot e-208 Elektromotor 136 GT | ACC | SHZG | Kamera,21.200 €,EZ 08/2020,85276 Pfaffenhofen,Elektro,21.950 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Nissan Leaf 39 kWh Tekna*LEDER*BOSE*4xKAMERA*SHZ*,20.590 €,EZ 04/2022,33106 Paderborn,"Elektro, ca. 0 g CO₂/km (komb.)* ",18.570 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
"Tesla Model 3 Performance*FSD*Leder_weiß*Sound*20""*VAT",27.580 €,EZ 03/2019,83043 Bad Aibling,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",140.020 km,ca. 355 kW (483PS),gefunden auf autoscout24.de
Mercedes-Benz E 350 EQE 350 EQE 350 AMG L Distr 360° Pano Memory Burmester3D,59.830 €,EZ 06/2023,92331 Parsberg / Lupburg,"Elektro, ca. 0 g CO₂/km (komb.)* ",3.098 km,ca. 215 kW (292PS),gefunden auf autoscout24.de
VW ID.4 Volkswagen Pro Performance 150 kW (204 PS) 77 kWh 1-G,45.490 €,EZ 08/2023,68167 Mannheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",10.100 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
Renault ZOE Life Bose*GRA*Navi*DAB+,8.990 €,EZ 02/2019,97461 Hofheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",42.900 km,ca. 43 kW (58PS),gefunden auf autoscout24.de
"Opel Corsa Elektro Edition, PDC + Kamera, Klima",16.990 €,EZ 08/2020,57072 Siegen,"Elektro, ca. 0 g CO₂/km (komb.)* ",48.902 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Renault ZOE R135 Z.E. 50 Experience Batteriekauf CCS + Einpark,13.990 €,EZ 03/2021,22763 Hamburg,Elektro,72.925 km,ca. 51 kW (69PS),gefunden auf autoscout24.de
Mercedes-Benz Others EQE 43 AMG Hyper HAL Burm Pano Nappa Airmatic,79.900 €,EZ 05/2023,85652 Landsham bei München,"Elektro, ca. 0 g CO₂/km (komb.)* ",4.914 km,ca. 350 kW (476PS),gefunden auf autoscout24.de
Renault ZOE R110 Z.E. 50 Experience (Miet-Batterie) Einparkhil,9.990 €,EZ 12/2020,22529 Hamburg,Elektro,11.255 km,ca. 51 kW (69PS),gefunden auf autoscout24.de
"Hyundai Ioniq Elektro Premium Leder, LED, sehr sparsam",14.990 €,EZ 02/2018,35037 Marburg a.d. Lahn,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",76.000 km,ca. 88 kW (120PS),gefunden auf autoscout24.de
Mercedes-Benz Others EQE 350 AMG Pano HAL DigiLight HUD Burm Airmatic,59.750 €,EZ 05/2023,85652 Landsham bei München,"Elektro, ca. 0 g CO₂/km (komb.)* ",3.041 km,ca. 215 kW (292PS),gefunden auf autoscout24.de
Mercedes-Benz E 500 EQE 500 EQE 500 4M AMG L AIRMATIC HYPERSCREEN Distr 360°,71.880 €,EZ 06/2023,92331 Parsberg / Lupburg,"Elektro, ca. 0 g CO₂/km (komb.)* ",3.960 km,ca. 300 kW (408PS),gefunden auf autoscout24.de
Mercedes-Benz E 500 EQE 500 EQE 500 4M AMG L HYPERSCREEN Pano AIRMATIC Distr,70.740 €,EZ 05/2023,92331 Parsberg / Lupburg,"Elektro, ca. 0 g CO₂/km (komb.)* ",3.250 km,ca. 300 kW (408PS),gefunden auf autoscout24.de
Tesla Model S 70,24.900 €,EZ 07/2016,80935 München,Elektro,303.000 km,ca. 235 kW (320PS),gefunden auf autoscout24.de
Porsche Taycan 4 S Nightvision Bose 14-Wege Sitze LED+,67.800 €,EZ 10/2020,82110 Germering/München,Elektro,14.516 km,ca. 390 kW (530PS),gefunden auf autoscout24.de
