title,price,registration,location,benzin,mileage,power,gefunden
BMW 318i Limousine,17.350 €,EZ 09/2016,63785 Obernburg,"Benzin, ca. 5,4 l/100 km (komb.)* , ca. 124 g CO₂/km (komb.)* ",79.000 km,ca. 100 kW (136PS),gefunden auf BMW
BMW 318i 318 Advantage,17.200 €,EZ 05/2019,76646 Bruchsal,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",87.500 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Limo *NAVI.PDC.KOMFORTZUGANG.LM*,17.350 €,EZ 09/2016,63785 Obernburg,Benzin,77.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Baureihe 3 Lim. Advantage 1.Hand -SH,16.488 €,EZ 09/2016,63741 Aschaffenburg,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",117.410 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Advantage *LED*TEMPO*PDC*SHZ*KLIMA*,18.660 €,EZ 03/2018,13559 Berlin,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",74.935 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Advantage,18.950 €,EZ 01/2018,78315 Radolfzell,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",30.500 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
