title,price,registration,location,benzin,mileage,power,gefunden
BMW i3 120Ah RFK PDC Navi Prof. DAB Parkassistent,20.180 €,EZ 02/2021,85221 Dachau,"Elektro, ca. 0 g CO₂/km (komb.)* ",23.600 km,ca. 125 kW (170PS),gefunden auf autoscout24.de
Audi A7 Sportback 55 TFSI e S tronic quattro 5 Türen,837 € monatlich,EZ -/2024,,"Hybrid, ca. 1,3 l/100 km (komb.)* , ca. 30 g CO₂/km (komb.)* ",- km,ca. 270 kW (367PS),gefunden auf Carwow Leasing
BMW 530e iPerformance Limousine,27.490 €,EZ 07/2019,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",93.866 km,ca. 135 kW (184PS),gefunden auf BMW
Cupra Born h,33.290 €,EZ -/2023,,"Elektro, ca. 15,5 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",1.700 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
Renault Megane E-Tech Electric Iconic 220 Comfort Range,45.680 €,EZ -/2023,,"Elektro, ca. 15,7 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",12.000 km,ca. 160 kW (218PS),gefunden auf hey.car Online-Kauf
VW ID.3 Pro Performance Life *Navi*PDC*Sitzheizung*,23.325 €,EZ -/2021,,"Elektro, ca. 0 g CO₂/km (komb.)* ",50.810 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
"Audi A3 Sportback 40 TFSI e S-Tronic advanced, AHK, Sportsitze, Ambiente Lichtpaket Plus",29.390 €,EZ -/2021,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",32.800 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
"VW Golf VIII GTE 1.4 TSI DSG eHybrid, Navi, LED, App-Connect, Digital Cockpit Pro, ACC",27.640 €,EZ -/2022,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",12.730 km,ca. 180 kW (245PS),gefunden auf hey.car Online-Kauf
VW ID.3 Pro S Tour *Matrix-LED*Navi*Kamera*,37.750 €,EZ -/2020,,"Elektro, ca. 0 g CO₂/km (komb.)* ",36.800 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
BMW 330,34.600 €,EZ -/2019,,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+",75.447 km,ca. 215 kW (292PS),gefunden auf hey.car Online-Kauf
Audi A8 A8L 60 TFSI e qu. Matrix*Pano*B&O*HuD*Massage,61.780 €,EZ -/2019,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",18.600 km,ca. 330 kW (449PS),gefunden auf hey.car Online-Kauf
Porsche Taycan 4S Sport Turismo | Surroud View | BOSE |,126.390 €,EZ -/2023,,"Elektro, ca. 23,2 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",8.900 km,ca. 420 kW (571PS),gefunden auf hey.car Online-Kauf
Porsche Taycan Turbo S Sport Turismo | InnoDrive|,123.900 €,EZ -/2022,,"Elektro, ca. 22,8 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",38.000 km,ca. 560 kW (761PS),gefunden auf hey.car Online-Kauf
VW Golf 1.4 eHybrid STYLE PANO IQ.LIGHT ASSIST KAMERA,26.600 €,EZ -/2022,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",37.999 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
Audi e-tron GT qu. HeadUp Allradlenk adAir Laser,76.790 €,EZ -/2021,,"Elektro, ca. 21,07 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",37.097 km,ca. 350 kW (476PS),gefunden auf hey.car Online-Kauf
Smart ForFour EQ EQ forfour PLUS TAG,12.492 €,EZ -/2021,,"Elektro, ca. 18,8 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",17.694 km,ca. 60 kW (82PS),gefunden auf hey.car Online-Kauf
Cupra Born h Batterie Wärmepumpe,27.814 €,EZ -/2022,,"Elektro, ca. 16,4 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",8.450 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
Hyundai IONIQ 6 FIRST EDITION 4WD 325PS BOSE HEAD-UP,52.899 €,EZ -/2023,,"Elektro, ca. 15,1 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",7.500 km,ca. 239 kW (325PS),gefunden auf hey.car Online-Kauf
Audi A8 60 eTFSI quattro tiptronic HeadUp/Luft/B+O/Matrix Laser/Pano,69.700 €,EZ -/2021,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",45.250 km,ca. 250 kW (340PS),gefunden auf hey.car Online-Kauf
VW Arteon 1.4 eHybrid R-LINE ST.HEIZ NAVI KAMERA VIRTUAL,31.790 €,EZ -/2021,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",42.788 km,ca. 160 kW (218PS),gefunden auf hey.car Online-Kauf
Porsche Taycan Turbo Sport Turismo | Hinterachslenkung |,154.900 €,EZ -/2023,,"Elektro, ca. 23,0 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",8.900 km,ca. 500 kW (680PS),gefunden auf hey.car Online-Kauf
VW ID.3,22.870 €,EZ -/2021,,"Elektro, ca. 14,5 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",33.339 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
Audi A6 Lim. 50 TFSIe quattro Sport *Navi*PDC*LED*,38.475 €,EZ -/2020,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",47.061 km,ca. 185 kW (252PS),gefunden auf hey.car Online-Kauf
Audi e-tron GT Q LM21 SPORTSITZE-PRO MASSAGE HuD B&O,95.990 €,EZ -/2022,,"Elektro, ca. 0 g CO₂/km (komb.)* ",15.735 km,ca. 350 kW (476PS),gefunden auf hey.car Online-Kauf
VW ID.3 PRO PERF 1st Plus NAVI+MATRIX+RFK+SHZ+19,26.505 €,EZ -/2020,,"Elektro, ca. 15,7 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",18.900 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
Cupra Born 23|Beats|PilotM,46.220 €,EZ -/2023,,"Elektro, ca. 0 g CO₂/km (komb.)* ",18.700 km,ca. 170 kW (231PS),gefunden auf hey.car Online-Kauf
VW Golf 1.4 eHybrid GTE BLACKSTYLE IQ.LIGHT LEDER PANO AHK,33.670 €,EZ -/2022,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",33.470 km,ca. 180 kW (245PS),gefunden auf hey.car Online-Kauf
VW Golf e- LED+NAVI+PDC Apple CarPlay,17.190 €,EZ -/2017,,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",49.309 km,ca. 100 kW (136PS),gefunden auf hey.car Online-Kauf
VW Golf 1.4 eHybrid STYLE MATRIX ASSIST AHK KAMERA,26.600 €,EZ -/2022,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",43.454 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
VW ID.3 Pro Perf. 1st Max 20 PANO MATRIX WÄRMEPUMPE,24.950 €,EZ -/2020,,"Elektro, ca. 0 g CO₂/km (komb.)* ",71.177 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
"VW Golf VIII GTE 1.4 TSI DSG eHybrid, Navi, LED, Rückfahrkamera, App-Connect, Klima",28.140 €,EZ -/2022,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",14.300 km,ca. 180 kW (245PS),gefunden auf hey.car Online-Kauf
Audi A3 Sportback 40 TFSIe ADVANCED SOUND SITZH PDC BUSINESS,24.380 €,EZ -/2021,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",20.243 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
BMW i3 120Ah,23.990 €,EZ -/2022,,"Elektro, ca. 0 g CO₂/km (komb.)* ",13.924 km,ca. 125 kW (170PS),gefunden auf hey.car Online-Kauf
Audi A3,23.890 €,EZ -/2021,,"Hybrid, ca. 1,4 l/100 km (komb.)* , ca. 30 g CO₂/km (komb.)* , A+++",19.206 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
Mercedes-Benz A 250,27.290 €,EZ -/2021,,"Hybrid, ca. 32 g CO₂/km (komb.)* ",37.280 km,ca. 118 kW (160PS),gefunden auf hey.car Online-Kauf
VW Golf 1.4 eHybrid GTE PANO NAVI WINTERPAKET LED+ DAB,26.400 €,EZ -/2021,,"Hybrid, ca. 0 g CO₂/km (komb.)* ",17.763 km,ca. 180 kW (245PS),gefunden auf hey.car Online-Kauf
