title,price,registration,location,benzin,mileage,power,gefunden
Mini Cooper S Countryman Cooper SE ALL4 Countryman,32.450 €,EZ 10/2021,49479 Ibbenbüren,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.538 km,ca. 92 kW (125PS),gefunden auf MINI
Nissan Leaf 2. Zero Edition 150PS,16.900 €,EZ 04/2018,89350 Dürrlauingen/Mönstetten,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",48.700 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
VW Golf 8 1.4 TSI DSG GTE IQ.LIGHT KAMERA ACC NAVI 17 CONNECT DAB,29.599 €,EZ -/2020,,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 34 g CO₂/km (komb.)* , A+++",21.293 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
BMW 330e Limousine,41.989 €,EZ 10/2020,91301 Forchheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.356 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.800 €,EZ 10/2020,44625 Herne,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",77.563 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.430 €,EZ 08/2020,50374 Erftstadt,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",36.527 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,38.888 €,EZ 12/2020,66954 Pirmasens,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",41.990 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,39.669 €,EZ 11/2020,66459 Kirkel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",29.801 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.900 €,EZ 07/2020,40237 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",29.193 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.750 €,EZ 11/2020,33104 Paderborn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",27.735 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,31.470 €,EZ 11/2020,94315 Straubing,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",62.814 km,ca. 135 kW (184PS),gefunden auf BMW
BMW i3 94Ah (with Range Extender),19.900 €,EZ 12/2017,56073 Koblenz,"Hybrid, ca. 0 g CO₂/km (komb.)* ",64.724 km,ca. 125 kW (170PS),gefunden auf BMW
BMW 330e Limousine,33.899 €,EZ 08/2020,67071 Ludwigshafen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",45.272 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,63.990 €,EZ 09/2022,21339 Lüneburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.480 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e Limousine,33.869 €,EZ 11/2019,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",42.374 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,35.840 €,EZ 12/2019,45897 Gelsenkirchen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",61.696 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,40.880 €,EZ 01/2021,44625 Herne,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",13.121 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,38.950 €,EZ 05/2022,44534 Lünen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",11.006 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.395 €,EZ 10/2019,50858 Köln,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",21.336 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,55.511 €,EZ 10/2019,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",85.847 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,32.890 €,EZ 08/2020,42549 Velbert,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",29.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.180 €,EZ 03/2020,96050 Bamberg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",38.674 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.790 €,EZ 03/2021,31137 Hildesheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",62.741 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,38.560 €,EZ 12/2019,44263 Dortmund,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.072 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,38.509 €,EZ 11/2019,83395 Freilassing,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",25.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,64.980 €,EZ 08/2022,74076 Heilbronn,"Hybrid, ca. 0 g CO₂/km (komb.)* ",22.469 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 745e Limousine,54.411 €,EZ 11/2019,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",54.528 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e Limousine,31.940 €,EZ 03/2020,46282 Dorsten,"Hybrid, ca. 0 g CO₂/km (komb.)* ",44.297 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,58.970 €,EZ 09/2019,49835 Wietmarschen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",62.599 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,37.930 €,EZ 07/2020,73230 Ostfildern,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",31.808 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.911 €,EZ 06/2020,01219 Dresden,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",79.943 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,34.900 €,EZ 03/2021,12683 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",44.853 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,37.950 €,EZ 02/2022,59071 Hamm,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",21.006 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,32.877 €,EZ 11/2019,60314 Frankfurt am Main,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",63.434 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.880 €,EZ 06/2020,40721 Hilden,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",64.095 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Sedan,41.570 €,EZ 09/2020,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",48.600 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,36.900 €,EZ 07/2020,12683 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* ",18.077 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.713 €,EZ 02/2020,47906 Kempen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",32.086 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.311 €,EZ 11/2020,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",10.175 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.580 €,EZ 11/2020,53119 Bonn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.810 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le xDrive Limousine,66.890 €,EZ 07/2020,83707 Bad Wiessee,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",65.164 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,35.890 €,EZ 10/2020,35576 Wetzlar,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",90.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e xDrive Limousine,74.630 €,EZ 08/2022,13629 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",11 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.980 €,EZ 10/2020,67098 Bad Dürkheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",49.700 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le xDrive Limousine,74.850 €,EZ 05/2022,37671 Höxter,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",47.310 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e xDrive Limousine,32.911 €,EZ 10/2019,04103 Leipzig,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",33.663 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,28.690 €,EZ 12/2018,21614 Buxtehude,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",53.178 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.890 €,EZ 11/2020,91522 Ansbach,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",40.750 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,32.333 €,EZ 03/2020,91154 Roth,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",64.989 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,58.799 €,EZ 04/2021,47119 Duisburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",112.086 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,35.490 €,EZ 02/2021,58119 Hagen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",68.300 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,36.411 €,EZ 09/2020,80939 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",28.877 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,59.888 €,EZ 01/2020,60314 Frankfurt am Main,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",62.508 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e Limousine,30.900 €,EZ 10/2019,26125 Oldenburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",65.246 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,37.700 €,EZ 07/2020,45141 Essen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",23.859 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,28.950 €,EZ 04/2020,31303 Burgdorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",58.998 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,31.840 €,EZ 07/2020,44809 Bochum,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",62.042 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,30.950 €,EZ 04/2020,22848 Norderstedt,"Hybrid, ca. 0 g CO₂/km (komb.)* ",50.355 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Sedan,54.980 €,EZ 12/2022,49661 Cloppenburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",4.900 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,38.780 €,EZ 02/2020,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",49.774 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,30.880 €,EZ 07/2020,82362 Weilheim,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",77.500 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Sedan,42.790 €,EZ 10/2020,97076 Würzburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",55.024 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,36.890 €,EZ 10/2020,53119 Bonn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",66.485 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,33.890 €,EZ 08/2020,63303 Dreieich,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",40.843 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.930 €,EZ 07/2020,40549 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",70.254 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.690 €,EZ 11/2020,75417 Mühlacker,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",6.890 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,37.900 €,EZ 08/2020,92421 Schwandorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",54.938 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.900 €,EZ 01/2020,14057 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",48.492 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,36.490 €,EZ 01/2020,47441 Moers,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",43.450 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,35.888 €,EZ 07/2020,97424 Schweinfurt,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",75.124 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,28.566 €,EZ 03/2020,88046 Friedrichshafen,"Hybrid, ca. 0 g CO₂/km (komb.)* ",64.555 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,35.450 €,EZ 12/2019,83395 Freilassing,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",47.852 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,37.950 €,EZ 01/2020,55543 Bad Kreuznach,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",54.858 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 545e xDrive Limousine,83.949 €,EZ 03/2023,89077 Ulm,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",7.972 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,29.869 €,EZ 10/2019,91058 Erlangen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",103.650 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,36.980 €,EZ 07/2020,91522 Ansbach,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",76.500 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 545e xDrive Limousine,58.980 €,EZ 10/2022,57076 Siegen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",9.975 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,21.800 €,EZ 12/2019,85356 Freising,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",180.169 km,ca. 135 kW (184PS),gefunden auf BMW
BMW i3s,27.990 €,EZ 10/2021,90441 Nürnberg,"Elektro, ca. 0 g CO₂/km (komb.)* , A+++",16.632 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,27.428 €,EZ 07/2020,86381 Krumbach,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",74.018 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.950 €,EZ 10/2020,92421 Schwandorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",48.005 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,28.980 €,EZ 07/2019,45141 Essen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.203 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,57.900 €,EZ 12/2022,49479 Ibbenbüren,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",19.367 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,89.999 €,EZ 07/2020,32257 Bünde,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",39.799 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le xDrive Limousine,76.450 €,EZ 04/2022,33104 Paderborn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",24.108 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 545e xDrive Limousine,74.990 €,EZ 12/2022,29410 Salzwedel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",12.490 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e xDrive Limousine MX,40.498 €,EZ 04/2021,63785 Obernburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",42.229 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,31.900 €,EZ 07/2020,40237 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",71.846 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,53.990 €,EZ 09/2019,44625 Herne,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",76.528 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e xDrive Sedan,44.540 €,EZ 08/2020,27472 Cuxhaven,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",27.764 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,28.840 €,EZ 03/2019,34125 Kassel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",41.850 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,46.970 €,EZ 10/2020,49835 Wietmarschen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",53.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.900 €,EZ 12/2019,93180 Deuerling,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",58.900 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.990 €,EZ 08/2020,72160 Horb/Neckar,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",35.947 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,69.799 €,EZ 04/2022,47608 Geldern,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",35.705 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e xDrive Limousine,38.890 €,EZ 10/2021,51674 Wiehl,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",83.149 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.689 €,EZ 10/2020,34125 Kassel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",64.999 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,36.840 €,EZ 01/2020,45897 Gelsenkirchen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",54.029 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e Limousine,64.749 €,EZ 09/2022,97076 Würzburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",24.838 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e Limousine,38.856 €,EZ 12/2020,88046 Friedrichshafen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",57.443 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,31.830 €,EZ 04/2019,53879 Euskirchen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",69.911 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.900 €,EZ 06/2020,12683 Berlin,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",27.720 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.990 €,EZ 07/2020,71679 Asperg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",20.419 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,37.712 €,EZ 11/2020,33719 Bielefeld,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",39.951 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,37.840 €,EZ 12/2019,45897 Gelsenkirchen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",33.619 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,34.885 €,EZ 03/2020,85435 Erding,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.801 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,30.990 €,EZ 07/2020,88131 Lindau,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",105.463 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,30.880 €,EZ 01/2020,55743 Idar-Oberstein,"Hybrid, ca. 0 g CO₂/km (komb.)* ",78.088 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,38.680 €,EZ 05/2020,44263 Dortmund,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",47.265 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Sedan,39.411 €,EZ 07/2020,66459 Kirkel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",26.855 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,29.846 €,EZ 03/2020,93055 Regensburg,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",49.854 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le xDrive Limousine,74.900 €,EZ 12/2021,82538 Geretsried - Gelting,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.797 km,ca. 210 kW (286PS),gefunden auf BMW
