title,price,registration,location,benzin,mileage,power,gefunden
Tesla Model 3 Langstreckenbatt. Allradantrieb Dual Motor,43.000 €,EZ 09/2022,57223 Kreuztal,"Elektro, ca. 0 g CO₂/km (komb.)* ",7.200 km,ca. 377 kW (513PS),gefunden auf autoscout24.de
BMW 330e Sedan,44.443 €,EZ 03/2023,47441 Moers,"Hybrid, ca. 0 g CO₂/km (komb.)* ",16.450 km,ca. 135 kW (184PS),gefunden auf BMW
Mini Cooper S Countryman Cooper SE ALL4 Countryman,28.850 €,EZ 10/2021,49479 Ibbenbüren,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",22.538 km,ca. 92 kW (125PS),gefunden auf MINI
BMW 330e Sedan,44.443 €,EZ 03/2023,47441 Moers,"Hybrid, ca. 0 g CO₂/km (komb.)* ",16.450 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,25.640 €,EZ 07/2019,97922 Lauda-Königshofen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",115.557 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,27.850 €,EZ 10/2020,97424 Schweinfurt,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",116.739 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,50.960 €,EZ 12/2022,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* ",26.084 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.900 €,EZ 12/2019,94481 Grafenau,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",68.914 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e xDrive Limousine,33.990 €,EZ 11/2020,40237 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",73.845 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,29.799 €,EZ 06/2020,70569 Stuttgart,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",83.660 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,36.690 €,EZ 10/2019,48653 Coesfeld,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",35.600 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745Le Limousine,55.900 €,EZ 03/2020,42549 Velbert,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",42.935 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e xDrive Sedan,34.440 €,EZ 08/2020,40595 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",72.085 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Sedan G20 XB1,45.880 €,EZ 11/2022,46149 Oberhausen,"Hybrid, ca. 0 g CO₂/km (komb.)* ",29.813 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e xDrive Limousine,31.390 €,EZ 10/2021,51674 Wiehl,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",83.149 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,33.930 €,EZ 10/2020,50968 Köln,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",54.077 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,32.890 €,EZ 09/2020,63303 Dreieich,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",61.005 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 750e xDrive Sedan,132.860 €,EZ 05/2023,85053 Ingolstadt,"Hybrid, ca. 0 g CO₂/km (komb.)* ",13.900 km,ca. 230 kW (313PS),gefunden auf BMW
BMW 330e Limousine,27.480 €,EZ 03/2020,44579 Castrop-Rauxel,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",99.990 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,32.707 €,EZ 01/2020,85053 Ingolstadt,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",90.500 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,33.689 €,EZ 03/2020,57076 Siegen,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",30.697 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 760 M760e xDrive Sedan,148.599 €,EZ 02/2023,46117 Oberhausen,"Hybrid, ca. 0 g CO₂/km (komb.)* ",8.621 km,ca. 280 kW (381PS),gefunden auf BMW
BMW 320e Berlina,28.379 €,EZ 07/2021,74074 Heilbronn,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",21.000 km,ca. 120 kW (163PS),gefunden auf BMW
BMW 330e Berlina,31.272 €,EZ 12/2020,89077 Ulm,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",51.941 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,35.990 €,EZ 12/2020,03044 Cottbus,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+++",26.356 km,ca. 135 kW (184PS),gefunden auf BMW
