title,price,registration,location,benzin,mileage,power,gefunden
"Mercedes-Benz C 220 d AMG/Wide/Digital/Pano/Memo/360/Totw/18""",48.350 €,EZ 09/2022,35683 Dillenburg,"Diesel, ca. 4,3 l/100 km (komb.)* , ca. 115 g CO₂/km (komb.)* , A+",42.698 km,ca. 147 kW (200PS),gefunden auf autoscout24.de
Mercedes-Benz C 200 7G-TRONIC AMG Line,25.700 €,EZ 09/2016,75172 Pforzheim,"Benzin, ca. 5,3 l/100 km (komb.)* ",89.300 km,ca. 135 kW (184PS),gefunden auf autoscout24.de
Peugeot 2008 Crossway 110 *1.Hand*Navi*T-Leder*Park ass*,9.850 €,EZ 09/2018,52134 Herzogenrath,"Benzin, ca. 5,6 l/100 km (komb.)* , ca. 103 g CO₂/km (komb.)* , A+",136.000 km,ca. 81 kW (110PS),gefunden auf autoscout24.de
Ford Fiesta 1.0 EcoBoost S&S ST-LINE,16.750 €,EZ 12/2022,60386 Frankfurt,"Benzin, ca. 5,7 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* ",25.771 km,ca. 74 kW (101PS),gefunden auf autoscout24.de
"Mercedes-Benz A 250 e Limo AMG/Navi/Wide/LED/Pano/360/Amb/18""",33.290 €,EZ 11/2021,35683 Dillenburg,Andere,33.838 km,ca. 118 kW (160PS),gefunden auf autoscout24.de
Fiat Bravo 1.4 16V Turbo Start/Stop Sport,5.400 €,EZ 01/2012,65187 Wiesbaden,"Benzin, ca. 5,7 l/100 km (komb.)* ",137.500 km,ca. 103 kW (140PS),gefunden auf autoscout24.de
Skoda Fabia 1.0 MPI SHZ Klima Parksensor DAB Bluetooth,11.290 €,EZ 11/2019,84174 Eching i. Ndb.,"Benzin, ca. 4,8 l/100 km (komb.)* , ca. 108 g CO₂/km (komb.)* , B",42.217 km,ca. 44 kW (60PS),gefunden auf autoscout24.de
VW Golf Volkswagen 1.4 / R Optik,8.888 €,EZ 11/2012,44575 Castrop-Rauxel,"Benzin, ca. 6,4 l/100 km (komb.)* ",81.580 km,ca. 59 kW (80PS),gefunden auf autoscout24.de
Audi S3 Sportback 2.0 TFSI qu. Bose/Navi/Leder/Xenon,11.800 €,EZ 11/2011,64347 Griesheim,"Benzin, ca. 8,5 l/100 km (komb.)* , ca. 201 g CO₂/km (komb.)* ",245.000 km,ca. 195 kW (265PS),gefunden auf autoscout24.de
VW Polo Volkswagen 1.0 TSI OPF DSG Life *Navi*CarPlay*LED*PDC*SHZ*,19.980 €,EZ 09/2022,59067 Hamm,"Benzin, ca. 5,5 l/100 km (komb.)* , ca. 125 g CO₂/km (komb.)* ",15.431 km,ca. 70 kW (95PS),gefunden auf autoscout24.de
"Audi A4 2.0 TDI QUATTRO""MMI-NAVI""LED""SHZ""MASSAGE""",21.850 €,EZ 08/2018,50767 Köln,"Diesel, ca. 4,6 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",70.000 km,ca. 140 kW (190PS),gefunden auf autoscout24.de
Hyundai i10 1.0 YES!*TEMPO*SHZ*ALU*KLIMA*USB*AUX-IN*,11.790 €,EZ 06/2019,50739 Köln,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* , D",18.370 km,ca. 49 kW (67PS),gefunden auf autoscout24.de
Mercedes-Benz A 250 e AMG/Navi/Wide/LED/Cam/Amb/DAB/CarPlay/18,30.490 €,EZ 12/2021,57518 Betzdorf,Hybrid,21.392 km,ca. 118 kW (160PS),gefunden auf autoscout24.de
"Mercedes-Benz B 220 4M AMG KAMERA+PTS+SHZ+KLIMA+BUSINESS+18""",27.883 €,EZ 01/2020,55743 Idar-Oberstein,"Benzin, ca. 6,5 l/100 km (komb.)* , ca. 164 g CO₂/km (komb.)* , C",42.330 km,ca. 140 kW (190PS),gefunden auf autoscout24.de
VW Polo Volkswagen Comfortline 1.0 DAB+ PDC,15.990 €,EZ 11/2020,01067 Dresden,"Benzin, ca. 104 g CO₂/km (komb.)* ",45.152 km,ca. 70 kW (95PS),gefunden auf autoscout24.de
