title,price,registration,location,benzin,mileage,power,gefunden
Cupra Born VZ 170/82 Navi/Top View 360°/ACC/uvm,44.580 €,EZ 08/2023,67063 Ludwigshafen,Elektro,19.900 km,ca. 170 kW (231PS),gefunden auf autoscout24.de
"Hyundai IONIQ 6 77,4kWh 168kW Dynamiq 4 Türen",681 € monatlich,EZ -/2024,,"Elektro, ca. 0 g CO₂/km (komb.)* , A",- km,ca. 168 kW (228PS),gefunden auf Carwow Leasing
Toyota Auris 1.8 Hybrid Design Edition,15.210 €,EZ -/2016,,"Hybrid, ca. 3,9 l/100 km (komb.)* , ca. 91 g CO₂/km (komb.)* ",67.973 km,ca. 73 kW (99PS),gefunden auf Autohero
Toyota Auris 1.8 Hybrid Design Edition,15.210 €,EZ -/2016,,"Hybrid, ca. 3,9 l/100 km (komb.)* , ca. 91 g CO₂/km (komb.)* ",67.973 km,ca. 73 kW (99PS),gefunden auf Autohero
Mazda 2 1.5 Hybrid Agile,22.190 €,EZ -/2022,,"Hybrid, ca. 3,0 l/100 km (komb.)* , ca. 87 g CO₂/km (komb.)* ",3.239 km,ca. 85 kW (116PS),gefunden auf Autohero
Mercedes-Benz Andere CLA 250e AMG Line,29.200 €,EZ -/2020,,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 27 g CO₂/km (komb.)* ",78.742 km,ca. 118 kW (160PS),gefunden auf Autohero
Cupra Born VZ 170/82 Navi/Top View 360°/ACC/uvm,44.580 €,EZ 08/2023,67063 Ludwigshafen,Elektro,19.900 km,ca. 170 kW (231PS),gefunden auf autoscout24.de
Renault ZOE (mit Batterie) 41 kwh Intens,13.100 €,EZ 08/2018,31061 Alfeld,"Elektro, ca. 0 g CO₂/km (komb.)* ",34.008 km,ca. 43 kW (58PS),gefunden auf autoscout24.de
BMW i3 Baureihe 94Ah aus 1.Hand - Scheckheft - MwSt.,18.599 €,EZ 12/2017,85716 Unterschleißheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",56.000 km,ca. 125 kW (170PS),gefunden auf autoscout24.de
Renault Megane E-Tech Evolution EV60 optimum charge,37.832 €,EZ 08/2023,77815 Bühl,Elektro,5.980 km,ca. 96 kW (131PS),gefunden auf autoscout24.de
VW e-Golf Volkswagen,15.990 €,EZ 05/2020,93055 Regensburg,"Elektro, ca. 0 g CO₂/km (komb.)* ",70.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Tesla Model Y Standard Range RWD *20-Zoll*,40.150 €,EZ 02/2023,41236 Mönchengladbach,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",15.337 km,ca. 220 kW (299PS),gefunden auf autoscout24.de
Opel Corsa-e F Edition AT LED On Board Loader Rückfahrkamera,17.450 €,EZ 11/2020,65428 Rüsselsheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",43.738 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
VW e-Golf Volkswagen Comfortline mit Hersteller-Garantie,17.650 €,EZ 10/2019,78337 Öhningen,Elektro,56.462 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
VW ID.3 Volkswagen Pro Performance ACC ALU DAB KA KEY LED PDC SHZ,29.950 €,EZ 04/2023,08541 Neuensalz bei Plauen,"Elektro, ca. 0 g CO₂/km (komb.)* , A+",7.990 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
Nissan Leaf Acenta Winter,17.500 €,EZ 03/2022,74343 Sachsenheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",22.400 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
"Tesla Model 3 Long Range*19""*!FSD!*VAT deductible*",26.980 €,EZ 03/2020,83043 Bad Aibling,"Elektro, ca. 0 g CO₂/km (komb.)* ",126.900 km,ca. 361 kW (491PS),gefunden auf autoscout24.de
"Mercedes-Benz EQS 580 4M Pano/Hyper/TV/ENERGIZING/Distr/20""AMG",93.840 €,EZ 04/2022,58239 Schwerte,Elektro,3.517 km,ca. 385 kW (523PS),gefunden auf autoscout24.de
VW Golf Volkswagen e- 5tg Navi/CCS/SHZ/LED/PDC,14.990 €,EZ 05/2019,89077 Ulm,Elektro,15.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
VW Golf Volkswagen VII e- NAVI ACC LED KLIMA SHZ PDC,17.988 €,EZ 03/2021,51379 Leverkusen,Elektro,21.840 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Tesla Model Y AWD|Panorama|LED|Navi|Autopilot|Kamera,38.945 €,EZ 03/2022,41460 Neuss bei Düsseldorf,"Elektro, ca. 0 g CO₂/km (komb.)* ",51.082 km,ca. 378 kW (514PS),gefunden auf autoscout24.de
Citroën C4 Citroen e- 136 SHINE,27.490 €,EZ 08/2023,24161 Altenholz,Elektro,3.200 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Tesla Model 3 Long Range Dual kWh 77 FSD AHK AWD,29.820 €,EZ 02/2021,53560 Vettelschoß,"Elektro, ca. 0 g CO₂/km (komb.)* ",121.500 km,ca. 366 kW (498PS),gefunden auf autoscout24.de
Polestar -2 2 2 Long Range Dual LED 360° Panorama T,34.940 €,EZ 09/2020,60314 Frankfurt am Main,Elektro,35.539 km,ca. 300 kW (408PS),gefunden auf autoscout24.de
Mercedes-Benz EQE 43 4M PREMIUM PLUS PANORAMA HEAD UP 360°,72.575 €,EZ 07/2023,46149 Oberhausen,Elektro,7.015 km,ca. 350 kW (476PS),gefunden auf autoscout24.de
Nissan Leaf ZE01 MY20 Acenta Winterpaket,17.490 €,EZ 04/2021,33719 Bielefeld,Elektro,30.731 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
Tesla Model S 70 D LED KAMERA PANO LUFT ACC LEDER,22.970 €,EZ 09/2015,12305 Berlin,"Elektro, ca. 0 g CO₂/km (komb.)* ",151.200 km,ca. 244 kW (332PS),gefunden auf autoscout24.de
Honda e Advance-Paket,18.990 €,EZ 11/2020,24619 Bornhoeved,Elektro,25.500 km,ca. 113 kW (154PS),gefunden auf autoscout24.de
