title,price,registration,location,benzin,mileage,power,gefunden
"BMW 318 i M SPORT KEYLESS,HIFI,LED,SCHECKHEFT,19ZOLL",19.880 €,EZ 03/2017,12103 Berlin,"Benzin, ca. 5,5 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* ",59.600 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318,13.900 €,EZ 11/2016,68309 Mannheim,"Benzin, ca. 5,1 l/100 km (komb.)* ",138.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Advantage,18.950 €,EZ 01/2018,78315 Radolfzell,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",30.500 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
